馬名,金額(Pt),毛色,成長,馬場,脚質,ＳＰ,ＳＴ,根性,瞬発,気性,体質,距離(下限),距離(上限),隠し,三冠,系統,①父,因子,系統,母,系統,②父父,因子,系統,父母,系統,③母父,因子,系統,母母,系統,④父父父,因子,系統,父父母,系統,⑤父母父,因子,系統,父母母,系統,⑥母父父,因子,系統,母父母,系統,⑦母母父,因子,系統,母母母,系統,⑧父父父父,因子,系統,⑨父父母父,因子,系統,⑩父母父父,因子,系統,⑪父母母父,因子,系統,⑫母父父父,因子,系統,⑬母父母父,因子,系統,⑭母母父父,因子,系統,⑮母母母父,因子,系統
マイグッドネス,3000,黒鹿毛,普通,芝,先,C+,C,C,C+,C+,C+,1400,2000,セリ,,ストームキャット,Storm Cat,sp2sy1,ストームキャット,Caressing,マンノウォー,Storm Bird,sp1kon1,ストームバード,Terlingua,ボールドルーラー,Honour and Glory,sp1,マンノウォー,Lovin Touch,レイズアネイティヴ,Northern Dancer,st2kon1,ノーザンダンサー,South Ocean,テディ,Secretariat,sp2,ボールドルーラー,Crimson Saint,ヒムヤー,Relaunch,kon1,マンノウォー,Fair to All,リファール,Majestic Prince,st1,レイズアネイティヴ,Forest Princess,ナスルーラ,Nearctic,sp1st1,ニアークティック,New Providence,kon1,テディ,Bold Ruler,sp2sy1,ボールドルーラー,Crimson Satan,kon1,ヒムヤー,In Reality,sp1,マンノウォー,Al Nasr,#N/A,リファール,Raise a Native,sp2sy1,レイズアネイティヴ,Fleet Nasrullah,#N/A,ナスルーラ
ラヴズオンリーミー,3000,鹿毛,早め,芝,先,D,C+,C+,D,C+,C+,1800,2400,セリ,,ストームキャット,Storm Cat,sp2sy1,ストームキャット,Monevassia,ミスタープロスペクター,Storm Bird,sp1kon1,ストームバード,Terlingua,ボールドルーラー,Mr. Prospector,sp2sy1,ミスタープロスペクター,Miesque,ヌレイエフ,Northern Dancer,st2kon1,ノーザンダンサー,South Ocean,テディ,Secretariat,sp2,ボールドルーラー,Crimson Saint,ヒムヤー,Raise a Native,sp2sy1,レイズアネイティヴ,Gold Digger,ナスルーラ,Nureyev,sp2kon1,ヌレイエフ,Pasadoble,リボー,Nearctic,sp1st1,ニアークティック,New Providence,kon1,テディ,Bold Ruler,sp2sy1,ボールドルーラー,Crimson Satan,kon1,ヒムヤー,Native Dancer,sp2sy1,ネイティヴダンサー,Nashua,sp2sy1,ナスルーラ,Northern Dancer,st2kon1,ノーザンダンサー,Prove Out,sy1,リボー
ラリズ,3000,鹿毛,普通,芝,先,C+,C,C,C+,C+,C+,1400,2000,セリ,,ストームキャット,Bernstein,#N/A,ストームキャット,La Marlene,ブラッシンググルーム,Storm Cat,sp2sy1,ストームキャット,La Affirmed,レイズアネイティヴ,Rainbow Corner,#N/A,ブラッシンググルーム,La Cardinale,ヘイルトゥリーズン,Storm Bird,sp1kon1,ストームバード,Terlingua,ボールドルーラー,Affirmed,sy1,レイズアネイティヴ,La Mesa,プリンスローズ,Rainbow Quest,st2sp1,ブラッシンググルーム,Kingscote,ニジンスキー,サザンヘイロー,sp1,ヘイルトゥリーズン,La Bozan,ナスルーラ,Northern Dancer,st2kon1,ノーザンダンサー,Secretariat,sp2,ボールドルーラー,Exclusive Native,sp1,レイズアネイティヴ,Round Table,sp1,プリンスローズ,Blushing Groom,sp2,ブラッシンググルーム,Kings Lake,#N/A,ニジンスキー,Halo,sp2sy1,ヘイルトゥリーズン,Good Manners,kon1,ナスルーラ
ロックディスタウン,3000,栗毛,早熟,芝,差,C+,C,C,C+,C+,C+,1400,2000,セリ,,ステイゴールド,オルフェーヴル,sp1st1,ステイゴールド,ストレイキャット,ストームキャット,ステイゴールド,st1kon1,ステイゴールド,オリエンタルアート,パーソロン,Storm Cat,sp2sy1,ストームキャット,ローミンレイチェル,ミスタープロスペクター,サンデーサイレンス,sp1st1,サンデーサイレンス,ゴールデンサッシュ,ハンプトン,メジロマックイーン,st2,パーソロン,エレクトロアート,ノーザンテースト,Storm Bird,sp1kon1,ストームバード,Terlingua,ボールドルーラー,マイニング,st1,ミスタープロスペクター,One Smart Lady,ニアークティック,Halo,sp2sy1,ヘイルトゥリーズン,ディクタス,kon1,ハンプトン,メジロティターン,st1,パーソロン,ノーザンテースト,st1kon1,ノーザンテースト,Northern Dancer,st2kon1,ノーザンダンサー,Secretariat,sp2,ボールドルーラー,Mr. Prospector,sp2sy1,ミスタープロスペクター,Clever Trick,kon1,ニアークティック
ケイティーズハート,3000,鹿毛,普通,芝,先,C+,C,C,C+,C+,C+,1400,2000,セリ,,サンデーサイレンス,ハーツクライ,st2,サンデーサイレンス,ケイティーズファースト,エタン,サンデーサイレンス,sp1st1,サンデーサイレンス,アイリッシュダンス,ゼダーン,Kris,st1,エタン,Katies,ニアークティック,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,トニービン,sp1st1,ゼダーン,ビューパーダンス,リファール,Sharpen Up,sp1sy1,エタン,Doubly Sure,テディ,ノノアルコ,sp2sy1,ニアークティック,Mortefontaine,マンノウォー,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,カンパラ,st1,ゼダーン,Lyphard,sp2sy1,リファール,エタン,st1,エタン,Reliance,sp1,テディ,Nearctic,sp1st1,ニアークティック,ポリック,#N/A,マンノウォー
コイウタ,3000,栗毛,早め,芝,差,C+,C,C,C+,C+,C+,1400,2000,セリ,,サンデーサイレンス,フジキセキ,sy1,サンデーサイレンス,ヴァイオレットラブ,トウルビヨン,サンデーサイレンス,sp1st1,サンデーサイレンス,ミルレーサー,セントサイモン,ドクターデヴィアス,#N/A,トウルビヨン,ヴアインゴールド,ミスタープロスペクター,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Le Fabuleux,kon1,セントサイモン,Marston's Mill,マンノウォー,Ahonoora,sp1,トウルビヨン,Rose of Jericho,リボー,Mr. Prospector,sp2sy1,ミスタープロスペクター,Chancy Dance,ヘイルトゥリーズン,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Wild Risk,kon1,セントサイモン,In Reality,sp1,マンノウォー,Lorenzaccio,kon1,トウルビヨン,Alleged,kon1,リボー,Raise a Native,sp2sy1,レイズアネイティヴ,Bold Reason,sp1,ヘイルトゥリーズン
ジェルミナル,3000,黒鹿毛,早め,芝,差,D,C+,C+,D,C+,C+,1800,2400,セリ,,サンデーサイレンス,アグネスタキオン,#N/A,サンデーサイレンス,オンブルリジェール,ノーザンダンサー,サンデーサイレンス,sp1st1,サンデーサイレンス,アグネスフローラ,ボールドルーラー,Double Bed,#N/A,ノーザンダンサー,Flawlessly,ブラッシンググルーム,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,ロイヤルスキー,#N/A,ボールドルーラー,アグネスレディー,ブランドフォード,Be My Guest,st1,ノーザンダンサー,Claire's Slipper,ハイペリオン,Rainbow Quest,st2sp1,ブラッシンググルーム,Pauvresse,ハイペリオン,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Raja Baba,#N/A,ボールドルーラー,リマンド,sy1,ブランドフォード,Northern Dancer,st2kon1,ノーザンダンサー,Welsh Saint,#N/A,ハイペリオン,Blushing Groom,sp2,ブラッシンググルーム,Home Guard,#N/A,ハイペリオン
マキシムカフェ,3000,黒鹿毛,普通,芝,差,C+,C,C,C+,C+,C+,1400,2000,セリ,,サンデーサイレンス,マンハッタンカフェ,st1,サンデーサイレンス,カフェピノコ,ミスタープロスペクター,サンデーサイレンス,sp1st1,サンデーサイレンス,サトルチェンジ,リボー,ジェイドロバリー,st1,ミスタープロスペクター,ピノシェット,ストームキャット,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Law Society,kon1,リボー,Santa Luciana,オーエンテューダー,Mr. Prospector,sp2sy1,ミスタープロスペクター,Number,ニジンスキー,Storm Cat,sp2sy1,ストームキャット,ピンクタートル,ブラッシンググルーム,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Alleged,kon1,リボー,Luciano,kon1,オーエンテューダー,Raise a Native,sp2sy1,レイズアネイティヴ,Nijinsky,sp2st1,ニジンスキー,Storm Bird,sp1kon1,ストームバード,Blushing Groom,sp2,ブラッシンググルーム
ラヴソースウィート,3000,黒鹿毛,晩成,ダ,差,C+,C,C,C+,C+,C+,1400,2000,セリ,,サンデーサイレンス,スペシャルウィーク,st2sy1,サンデーサイレンス,キソティックラヴ,ロベルト,サンデーサイレンス,sp1st1,サンデーサイレンス,キャンペンガール,ニジンスキー,ブライアンズタイム,st2sp1,ロベルト,キソティック,ニジンスキー,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,マルゼンスキー,sp2,ニジンスキー,レディーシラオキ,ハイペリオン,Roberto,st2kon1,ロベルト,Kelley's Day,リボー,Caerleon,sp2sy1,ニジンスキー,Idyllic,ボールドルーラー,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Nijinsky,sp2st1,ニジンスキー,セントクレスピン,st1,ハイペリオン,Hail to Reason,sp1,ヘイルトゥリーズン,Graustark,sy1,リボー,Nijinsky,sp2st1,ニジンスキー,Foolish Pleasure,#N/A,ボールドルーラー
ジュエラー,3000,鹿毛,早熟,芝,差,D,C+,C+,D,C+,C+,1800,2400,セリ,,サンデーサイレンス,ヴィクトワールピサ,kon1,サンデーサイレンス,バルドウィナ,ネアルコ,ネオユニヴァース,sp1sy1,サンデーサイレンス,ホワイトウォーターアフェア,ミスタープロスペクター,Pistolet Bleu,#N/A,ネアルコ,Balioka,ブランドフォード,サンデーサイレンス,sp1st1,サンデーサイレンス,ポインテッドパス,エタン,Machiavellian,sp1st1,ミスタープロスペクター,Much Too Risky,ブランドフォード,Top Ville,sp1,ネアルコ,Pampa Bella,ネアルコ,Tourangeau,#N/A,ブランドフォード,Bangalore,マッチェム,Halo,sp2sy1,ヘイルトゥリーズン,Kris,st1,エタン,Mr. Prospector,sp2sy1,ミスタープロスペクター,Bustino,sp1,ブランドフォード,High Top,kon1,ネアルコ,Armos,#N/A,ネアルコ,Val de Loir,kon1,ブランドフォード,Cadmus,#N/A,マッチェム
ワイドサファイア,3000,鹿毛,普通,芝,差,C+,C,C,C+,C+,C+,1400,2000,セリ,,サンデーサイレンス,アグネスタキオン,#N/A,サンデーサイレンス,クイーンソネット,ノーザンテースト,サンデーサイレンス,sp1st1,サンデーサイレンス,アグネスフローラ,ボールドルーラー,ノーザンテースト,st1kon1,ノーザンテースト,エイプリルソネット,ハンプトン,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,ロイヤルスキー,#N/A,ボールドルーラー,アグネスレディー,ブランドフォード,Northern Dancer,st2kon1,ノーザンダンサー,Lady Victoria,テディ,Dike,sy1,ハンプトン,Pass Me,トムフール,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Raja Baba,#N/A,ボールドルーラー,リマンド,sy1,ブランドフォード,Nearctic,sp1st1,ニアークティック,Victoria Park,st1,テディ,Herbager,kon1,サンインロー,Pass,#N/A,トムフール
グリューネワルト,3000,青鹿毛,遅め,芝,先,C+,C,C,C+,C+,C+,1400,2000,セリ,,サンデーサイレンス,スペシャルウィーク,st2sy1,サンデーサイレンス,シェーンクライト,ノーザンダンサー,サンデーサイレンス,sp1st1,サンデーサイレンス,キャンペンガール,ニジンスキー,エリシオ,#N/A,ノーザンダンサー,カロギャル,カロ,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,マルゼンスキー,sp2,ニジンスキー,レディーシラオキ,ハイペリオン,Fairy King,st1,ノーザンダンサー,Helice,シアトルスルー,Caro,sp2sy1,カロ,Delso,プリンスローズ,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Nijinsky,sp2st1,ニジンスキー,セントクレスピン,st1,ハイペリオン,Northern Dancer,st2kon1,ノーザンダンサー,Slewpy,#N/A,シアトルスルー,フォルティノ,sp1sy1,グレイソヴリン,More So,#N/A,プリンスローズ
チュウワブロッサム,3000,鹿毛,遅め,ダ,差,D+,B,B,D+,C+,C+,2200,2800,セリ,,サンデーサイレンス,デュランダル,#N/A,サンデーサイレンス,オータムブリーズ,ミスタープロスペクター,サンデーサイレンス,sp1st1,サンデーサイレンス,サワヤカプリンセス,ノーザンテースト,ティンバーカントリー,st1,ミスタープロスペクター,セプテンバーソング,ロベルト,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,ノーザンテースト,st1kon1,ノーザンテースト,スコッチプリンセス,ハイペリオン,Woodman,sp2sy1,ミスタープロスペクター,Fall Aspen,ファラリス,リアルシャダイ,st1,ロベルト,ダイナフェアリー,ノーザンテースト,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Northern Dancer,st2kon1,ノーザンダンサー,Creme dela Creme,#N/A,ハイペリオン,Mr. Prospector,sp2sy1,ミスタープロスペクター,Pretense,st1,ファラリス,Roberto,st2kon1,ロベルト,ノーザンテースト,st1kon1,ノーザンテースト
トゥハーモニー,3000,青鹿毛,遅め,芝,先,C+,C,C,C+,C+,C+,1400,2000,セリ,,サンデーサイレンス,サンデーサイレンス,sp1st1,サンデーサイレンス,エアレジェーロ,リボー,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,アレミロード,#N/A,リボー,アルパインスウィフト,ストームバード,Hail to Reason,sp1,ヘイルトゥリーズン,Cosmah,ファラリス,Understanding,sp1,テディ,Mountain Flower,ハイペリオン,Tom Rolfe,st1,リボー,Why Me Lord,ボールドルーラー,Storm Bird,sp1kon1,ストームバード,La Dame Du Lac,プリンスローズ,Turn-to,sp2sy1,ロイヤルチャージャー,Cosmic Bomb,sy1,ファラリス,Promised Land,st1,テディ,Montparnasse,kon1,ハイペリオン,Ribot,st1kon1,リボー,Bold Reasoning,sp1,ボールドルーラー,Northern Dancer,st2kon1,ノーザンダンサー,Round Table,sp1,プリンスローズ
ハシッテホシーノ,3000,鹿毛,普通,芝,先,C+,C,C,C+,C+,C+,1400,2000,セリ,,サンデーサイレンス,アグネスタキオン,#N/A,サンデーサイレンス,アドマイス,ゼダーン,サンデーサイレンス,sp1st1,サンデーサイレンス,アグネスフローラ,ボールドルーラー,Highest Honor,#N/A,ゼダーン,Admiration,オーエンテューダー,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,ロイヤルスキー,#N/A,ボールドルーラー,アグネスレディー,ブランドフォード,Kenmare,kon1,ゼダーン,High River,ナスルーラ,Kashmir,#N/A,オーエンテューダー,Prue,ナスルーラ,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Raja Baba,#N/A,ボールドルーラー,リマンド,sy1,ブランドフォード,Kalamoun,st1,ゼダーン,Riverman,sp1kon1,ナスルーラ,Tudor Melody,#N/A,オーエンテューダー,Nasram,st1,ナスルーラ
デアリングハート,3000,栗毛,早め,芝,先,C+,C,C,C+,C+,C+,1400,2000,セリ,,サンデーサイレンス,サンデーサイレンス,sp1st1,サンデーサイレンス,デアリングダンジグ,ダンチヒ,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Danzig,sp2sy1,ダンチヒ,Impetuous Gal,ニアークティック,Hail to Reason,sp1,ヘイルトゥリーズン,Cosmah,ファラリス,Understanding,sp1,テディ,Mountain Flower,ハイペリオン,Northern Dancer,st2kon1,ノーザンダンサー,Pas de Nom,テディ,Briartic,sy1,ニアークティック,Impetuous Lady,テディ,Turn-to,sp2sy1,ロイヤルチャージャー,Cosmic Bomb,sy1,ファラリス,Promised Land,st1,テディ,Montparnasse,kon1,ハイペリオン,Nearctic,sp1st1,ニアークティック,Admiral's Voyage,st1,テディ,Nearctic,sp1st1,ニアークティック,Hasty Road,kon1,テディ
ブルーメンブラット,3000,黒鹿毛,晩成,芝,差,C+,C,C,C+,C+,C+,1400,2000,セリ,,サンデーサイレンス,アドマイヤベガ,sy1,サンデーサイレンス,マイワイルドフラワー,ノーザンダンサー,サンデーサイレンス,sp1st1,サンデーサイレンス,ベガ,ゼダーン,Topsider,#N/A,ノーザンダンサー,Wildwook,サーゲイロード,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,トニービン,sp1st1,ゼダーン,アンティックヴァリュー,ノーザンダンサー,Northern Dancer,st2kon1,ノーザンダンサー,Drumtop,プリンスローズ,Sir Gaylord,sp2kon1,サーゲイロード,Blue Canoe,ブランドフォード,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,カンパラ,st1,ゼダーン,Northern Dancer,st2kon1,ノーザンダンサー,Nearctic,sp1st1,ニアークティック,Round Table,sp1,プリンスローズ,Turn-to,sp2sy1,ロイヤルチャージャー,Jet Pilot,#N/A,ブランドフォード
マエストラーレ,3000,鹿毛,遅め,芝,差,C+,C,C,C+,C+,C+,1400,2000,セリ,,サンデーサイレンス,ネオユニヴァース,sp1sy1,サンデーサイレンス,オータムブリーズ,ミスタープロスペクター,サンデーサイレンス,sp1st1,サンデーサイレンス,ポインテッドパス,エタン,ティンバーカントリー,st1,ミスタープロスペクター,セプテンバーソング,ロベルト,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Kris,st1,エタン,Silken Way,プリンスローズ,Woodman,sp2sy1,ミスタープロスペクター,Fall Aspen,ファラリス,リアルシャダイ,st1,ロベルト,ダイナフェアリー,ノーザンテースト,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Sharpen Up,sp1sy1,エタン,Shantung,kon1,プリンスローズ,Mr. Prospector,sp2sy1,ミスタープロスペクター,Pretense,st1,ファラリス,Roberto,st2kon1,ロベルト,ノーザンテースト,st1kon1,ノーザンテースト
ムードインディゴ,3000,栗毛,早め,芝,追,C+,C,C,C+,C+,C+,1400,2000,セリ,,サンデーサイレンス,ダンスインザダーク,st1,サンデーサイレンス,リープフォージョイ,エタン,サンデーサイレンス,sp1st1,サンデーサイレンス,ダンシングキイ,ニジンスキー,Sharpo,#N/A,エタン,Humble Pie,マンノウォー,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Nijinsky,sp2st1,ニジンスキー,Key Partner,リボー,Sharpen Up,sp1sy1,エタン,Moiety Bird,トウルビヨン,Known Fact,#N/A,マンノウォー,Scarcely Blessed,プリンスリーギフト,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Northern Dancer,st2kon1,ノーザンダンサー,Key to the Mint,sp1sy1,リボー,エタン,st1,エタン,ファルコン,#N/A,トウルビヨン,In Reality,sp1,マンノウォー,ソーブレスド,#N/A,プリンスリーギフト
グレイシアブルー,3000,青鹿毛,遅め,芝,先,C+,C,C,C+,C+,C+,1400,2000,セリ,,サンデーサイレンス,サンデーサイレンス,sp1st1,サンデーサイレンス,ブルーラスター,ヌレイエフ,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Nureyev,sp2kon1,ヌレイエフ,Blue Note,サーゲイロード,Hail to Reason,sp1,ヘイルトゥリーズン,Cosmah,ファラリス,Understanding,sp1,テディ,Mountain Flower,ハイペリオン,Northern Dancer,st2kon1,ノーザンダンサー,Special,ハイペリオン,Habitat,sp2,サーゲイロード,Balsamique,ブランドフォード,Turn-to,sp2sy1,ロイヤルチャージャー,Cosmic Bomb,sy1,ファラリス,Promised Land,st1,テディ,Montparnasse,kon1,ハイペリオン,Nearctic,sp1st1,ニアークティック,Forli,sp1,ハイペリオン,Sir Gaylord,sp2kon1,サーゲイロード,Tourangeau,#N/A,ブランドフォード
リンゴアメ,3000,黒鹿毛,早熟,芝,逃,B,D+,D+,B,C+,C+,1000,1600,セリ,,サンデーサイレンス,マツリダゴッホ,st1kon1,サンデーサイレンス,マイネデセール,ミスタープロスペクター,サンデーサイレンス,sp1st1,サンデーサイレンス,ペイパーレイン,ボールドルーラー,マイネルラヴ,#N/A,ミスタープロスペクター,メインディッシュ,ハンプトン,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Bel Bolide,#N/A,ボールドルーラー,フローラルマジック,レイズアネイティヴ,Seeking the Gold,sp2sy1,ミスタープロスペクター,Heart of Joy,リファール,サンシー,#N/A,ハンプトン,メイワキミコ,セントサイモン,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Bold Bidder,sp1,ボールドルーラー,Affirmed,sy1,レイズアネイティヴ,Mr. Prospector,sp2sy1,ミスタープロスペクター,リィフォー,#N/A,リファール,Sanctus,st1,ハンプトン,Gallant Man,#N/A,セントサイモン
メイショウマンボ,3000,鹿毛,早め,芝,差,D,C+,C+,D,C+,C+,1800,2400,セリ,,サンデーサイレンス,スズカマンボ,sp1,サンデーサイレンス,メイショウモモカ,ロベルト,サンデーサイレンス,sp1st1,サンデーサイレンス,スプリングマンボ,ミスタープロスペクター,グラスワンダー,sp1kon1,ロベルト,メイショウアヤメ,ミスタープロスペクター,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Kingmambo,st1kon1,ミスタープロスペクター,キーフライヤー,ニジンスキー,Silver Hawk,sp1sy1,ロベルト,Ameriflora,ダンチヒ,ジェイドロバリー,st1,ミスタープロスペクター,ウイルムーン,ミルリーフ,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Mr. Prospector,sp2sy1,ミスタープロスペクター,Nijinsky,sp2st1,ニジンスキー,Roberto,st2kon1,ロベルト,Danzig,sp2sy1,ダンチヒ,Mr. Prospector,sp2sy1,ミスタープロスペクター,ミルジョージ,#N/A,ミルリーフ
メーヴェ,3000,黒鹿毛,遅め,芝,先,C+,C,C,C+,C+,C+,1400,2000,セリ,,サドラーズウェルズ,Motivator,#N/A,サドラーズウェルズ,Top Table,ミルリーフ,Montjeu,#N/A,サドラーズウェルズ,Out West,ゴーンウエスト,Shirley Heights,sp1,ミルリーフ,Lora's Guest,ノーザンダンサー,Sadler's Wells,st2kon1,サドラーズウェルズ,Floripedes,ネアルコ,Gone West,sp1kon1,ゴーンウエスト,Chellingoua,エタン,Mill Reef,st2kon1,ミルリーフ,Hardiemma,ファラリス,Be My Guest,st1,ノーザンダンサー,Lora,トウルビヨン,Northern Dancer,st2kon1,ノーザンダンサー,Top Ville,sp1,ネアルコ,Mr. Prospector,sp2sy1,ミスタープロスペクター,Sharpen Up,sp1sy1,エタン,Never Bend,sp2sy1,ネヴァーベンド,ハーディカヌート,#N/A,ファラリス,Northern Dancer,st2kon1,ノーザンダンサー,Lorenzaccio,kon1,トウルビヨン
スキア,3000,鹿毛,普通,芝,先,C+,C,C,C+,C+,C+,1400,2000,セリ,,サドラーズウェルズ,Motivator,#N/A,サドラーズウェルズ,Light Quest,ブラッシンググルーム,Montjeu,#N/A,サドラーズウェルズ,Out West,ゴーンウエスト,クエストフォーフェイム,#N/A,ブラッシンググルーム,Gleam of Light,デインヒル,Sadler's Wells,st2kon1,サドラーズウェルズ,Floripedes,ネアルコ,Gone West,sp1kon1,ゴーンウエスト,Chellingoua,エタン,Rainbow Quest,st2sp1,ブラッシンググルーム,Aryenne,ニジンスキー,デインヒル,sp2sy1,デインヒル,Gold Runner,オーエンテューダー,Northern Dancer,st2kon1,ノーザンダンサー,Top Ville,sp1,ネアルコ,Mr. Prospector,sp2sy1,ミスタープロスペクター,Sharpen Up,sp1sy1,エタン,Blushing Groom,sp2,ブラッシンググルーム,Green Dancer,sp2,ニジンスキー,Danzig,sp2sy1,ダンチヒ,Runnett,#N/A,オーエンテューダー
ベイトゥベイ,3000,鹿毛,普通,芝,先,C+,C,C,C+,C+,C+,1400,2000,セリ,,サドラーズウェルズ,Sligo Bay,#N/A,サドラーズウェルズ,Bala,カロ,Sadler's Wells,st2kon1,サドラーズウェルズ,Angelic Song,ヘイルトゥリーズン,With Approval,#N/A,カロ,Muskoka Dawn,ミスタープロスペクター,Northern Dancer,st2kon1,ノーザンダンサー,Fairy Bridge,ヘイルトゥリーズン,Halo,sp2sy1,ヘイルトゥリーズン,Ballade,サンインロー,Caro,sp2sy1,カロ,Passing Mood,トムフール,Miswaki,sp1,ミスタープロスペクター,April Dawn Marie,ニジンスキー,Nearctic,sp1st1,ニアークティック,Bold Reason,#N/A,ヘイルトゥリーズン,Hail to Reason,sp1,ヘイルトゥリーズン,Herbager,kon1,サンインロー,フォルティノ,sp1sy1,グレイソヴリン,Buckpasser,st1,トムフール,Mr. Prospector,sp2sy1,ミスタープロスペクター,Baldski,#N/A,ニジンスキー
シナスタジア,3000,栗毛,普通,芝,先,C+,C,C,C+,C+,C+,1400,2000,セリ,,ゴーンウエスト,Gone West,sp1kon1,ゴーンウエスト,Honest Cause,ストームキャット,Mr. Prospector,sp2sy1,ミスタープロスペクター,Secrettame,ボールドルーラー,Giant's Causeway,kon1,ストームキャット,Quite Honestly,マンノウォー,Raise a Native,sp2sy1,レイズアネイティヴ,Gold Digger,ナスルーラ,Secretariat,sp2,ボールドルーラー,Tamerett,トムフール,Storm Cat,sp2sy1,ストームキャット,Mariah's Storm,ブラッシンググルーム,Believe It,kon1,マンノウォー,Tesao,ボールドルーラー,Native Dancer,sp2sy1,ネイティヴダンサー,Nashua,sp2sy1,ナスルーラ,Bold Ruler,sp2sy1,ボールドルーラー,Tim Tam,st1,トムフール,Storm Bird,sp1kon1,ストームバード,Rahy,sp1,ブラッシンググルーム,In Reality,sp1,マンノウォー,Cornish Prince,kon1,ボールドルーラー
トップオブドーラ,3000,鹿毛,早め,芝,先,C+,C,C,C+,C+,C+,1400,2000,セリ,,ゴーンウエスト,Grand Slam,#N/A,ゴーンウエスト,Maltese Dianne,ヌレイエフ,Gone West,sp1kon1,ゴーンウエスト,Bright Candles,ノーザンダンサー,スピニングワールド,#N/A,ヌレイエフ,Lavish Gift,ニジンスキー,Mr. Prospector,sp2sy1,ミスタープロスペクター,Secrettame,ボールドルーラー,El Gran Senor,sp1,ノーザンダンサー,Christmas Bonus,リボー,Nureyev,sp2kon1,ヌレイエフ,Imperfect Circle,ナスルーラ,ジェネラス,sp1,ニジンスキー,Liaison,ブラッシンググルーム,Raise a Native,sp2sy1,レイズアネイティヴ,Secretariat,sp2,ボールドルーラー,Northern Dancer,st2kon1,ノーザンダンサー,Key to the Mint,sp1sy1,リボー,Northern Dancer,st2kon1,ノーザンダンサー,Riverman,sp1kon1,ナスルーラ,Caerleon,sp2sy1,ニジンスキー,Blushing Groom,sp2,ブラッシンググルーム
ケイアイガーベラ,3000,栗毛,晩成,ダ,逃,B,D+,D+,B,C+,C+,1000,1600,セリ,,ゴーンウエスト,Smarty Jones,#N/A,ゴーンウエスト,アンナステルツ,ダンチヒ,Elusive Quality,kon1,ゴーンウエスト,I'll Get Along,マンノウォー,Danzig,sp2sy1,ダンチヒ,Edge,ダマスカス,Gone West,sp1kon1,ゴーンウエスト,Touch of Greatness,ノーザンダンサー,Smile,#N/A,マンノウォー,Dont Worry Bout Me,ボールドルーラー,Northern Dancer,st2kon1,ノーザンダンサー,Pas de Nom,テディ,Damascus,sp2sy1,ダマスカス,Ponte Vecchio,プリンスローズ,Mr. Prospector,sp2sy1,ミスタープロスペクター,Hero's Honor,#N/A,ノーザンダンサー,In Reality,sp1,マンノウォー,Foolish Pleasure,#N/A,ボールドルーラー,Nearctic,sp1st1,ニアークティック,Admiral's Voyage,st1,テディ,Sword Dancer,st1,テディ,Round Table,sp1,プリンスローズ
